Geography,Period,VariableName,VariableValue,Product,Campaign,Creative,Outlet
0,2020-08-03,causal_0,0.0025671423932023736,Total,Total,Total,Total
0,2020-08-10,causal_0,0.0064836416308620675,Total,Total,Total,Total
0,2020-08-17,causal_0,0.0609332129297943,Total,Total,Total,Total
0,2020-08-24,causal_0,0.005205484085652833,Total,Total,Total,Total
0,2020-08-31,causal_0,0.008574120359118685,Total,Total,Total,Total
0,2020-09-07,causal_0,0.03229916995256938,Total,Total,Total,Total
0,2020-09-14,causal_0,0.0003916006954452323,Total,Total,Total,Total
0,2020-09-21,causal_0,0.039269762272506725,Total,Total,Total,Total
0,2020-09-28,causal_0,0.01024743791909205,Total,Total,Total,Total
0,2020-10-05,causal_0,0.00011265905750793287,Total,Total,Total,Total
0,2020-10-12,causal_0,0.0010669630298739128,Total,Total,Total,Total
0,2020-10-19,causal_0,0.05293384667877209,Total,Total,Total,Total
0,2020-10-26,causal_0,0.025490199940302424,Total,Total,Total,Total
0,2020-11-02,causal_0,0.07396298802317156,Total,Total,Total,Total
0,2020-11-09,causal_0,0.00011221761287393105,Total,Total,Total,Total
0,2020-11-16,causal_0,0.0024481509121088863,Total,Total,Total,Total
0,2020-11-23,causal_0,0.0070544256115655565,Total,Total,Total,Total
0,2020-11-30,causal_0,0.2433980585899177,Total,Total,Total,Total
0,2020-12-07,causal_0,0.005620833251811835,Total,Total,Total,Total
0,2020-12-14,causal_0,0.004055663175049311,Total,Total,Total,Total
0,2020-12-21,causal_0,0.0027411834021564877,Total,Total,Total,Total
0,2020-12-28,causal_0,0.024643759952375027,Total,Total,Total,Total
0,2021-01-04,causal_0,0.0027653268528767547,Total,Total,Total,Total
0,2021-01-11,causal_0,0.011534998136069504,Total,Total,Total,Total
0,2021-01-18,causal_0,0.013693030616575834,Total,Total,Total,Total
0,2021-01-25,causal_0,0.01170089684625256,Total,Total,Total,Total
0,2021-02-01,causal_0,0.4114490216610566,Total,Total,Total,Total
0,2021-02-08,causal_0,0.1288529260281585,Total,Total,Total,Total
0,2021-02-15,causal_0,0.06770347221144797,Total,Total,Total,Total
0,2021-02-22,causal_0,0.04510019427940776,Total,Total,Total,Total
0,2021-03-01,causal_0,0.019924579265274262,Total,Total,Total,Total
0,2021-03-08,causal_0,0.0487518993306317,Total,Total,Total,Total
0,2021-03-15,causal_0,0.07478420441363125,Total,Total,Total,Total
0,2021-03-22,causal_0,0.009723039810369061,Total,Total,Total,Total
0,2021-03-29,causal_0,0.10196481521431158,Total,Total,Total,Total
0,2021-04-05,causal_0,0.011501745099188904,Total,Total,Total,Total
0,2021-04-12,causal_0,0.3860955961451463,Total,Total,Total,Total
0,2021-04-19,causal_0,0.0053308929450594286,Total,Total,Total,Total
0,2021-04-26,causal_0,0.007371134981085292,Total,Total,Total,Total
0,2021-05-03,causal_0,0.039517153795670494,Total,Total,Total,Total
0,2021-05-10,causal_0,0.0009039323764145455,Total,Total,Total,Total
0,2021-05-17,causal_0,0.10079256039223725,Total,Total,Total,Total
0,2021-05-24,causal_0,0.01946495993299556,Total,Total,Total,Total
0,2021-05-31,causal_0,0.021470215383156147,Total,Total,Total,Total
0,2021-06-07,causal_0,0.003508363662246607,Total,Total,Total,Total
0,2021-06-14,causal_0,0.0005566337472256336,Total,Total,Total,Total
0,2021-06-21,causal_0,0.01779558043567103,Total,Total,Total,Total
0,2021-06-28,causal_0,0.11611946452172335,Total,Total,Total,Total
0,2021-07-05,causal_0,0.018028852681288142,Total,Total,Total,Total
0,2021-07-12,causal_0,0.0022993167691305067,Total,Total,Total,Total
0,2021-07-19,causal_0,0.024606552381649285,Total,Total,Total,Total
0,2021-07-26,causal_0,0.0016392739971343323,Total,Total,Total,Total
0,2021-08-02,causal_0,0.6131923809782723,Total,Total,Total,Total
0,2021-08-09,causal_0,0.0006141234204771926,Total,Total,Total,Total
0,2021-08-16,causal_0,0.02785369399640134,Total,Total,Total,Total
0,2021-08-23,causal_0,0.0026711266389005685,Total,Total,Total,Total
0,2021-08-30,causal_0,0.02487082028030621,Total,Total,Total,Total
0,2021-09-06,causal_0,0.007743023556773949,Total,Total,Total,Total
0,2021-09-13,causal_0,0.0011472981128107448,Total,Total,Total,Total
0,2021-09-20,causal_0,0.04603388332021414,Total,Total,Total,Total
0,2021-09-27,causal_0,0.006403238423964409,Total,Total,Total,Total
0,2021-10-04,causal_0,0.0002406104665580127,Total,Total,Total,Total
0,2021-10-11,causal_0,0.0018984571538142331,Total,Total,Total,Total
0,2021-10-18,causal_0,0.08236056466059291,Total,Total,Total,Total
0,2021-10-25,causal_0,0.0015320982269370468,Total,Total,Total,Total
0,2021-11-01,causal_0,0.0012621597130910228,Total,Total,Total,Total
0,2021-11-08,causal_0,0.0009859303464498904,Total,Total,Total,Total
0,2021-11-15,causal_0,0.02311145089944059,Total,Total,Total,Total
0,2021-11-22,causal_0,0.0010411342197976848,Total,Total,Total,Total
0,2021-11-29,causal_0,0.008503098993794901,Total,Total,Total,Total
0,2021-12-06,causal_0,0.013436236709845117,Total,Total,Total,Total
0,2021-12-13,causal_0,0.04114027597791342,Total,Total,Total,Total
0,2021-12-20,causal_0,0.007214254900516512,Total,Total,Total,Total
0,2021-12-27,causal_0,0.017618535203250543,Total,Total,Total,Total
0,2022-01-03,causal_0,0.04780860683119151,Total,Total,Total,Total
0,2022-01-10,causal_0,0.03314643141038173,Total,Total,Total,Total
0,2022-01-17,causal_0,0.03954452242706657,Total,Total,Total,Total
0,2022-01-24,causal_0,0.007585529877034128,Total,Total,Total,Total
0,2022-01-31,causal_0,0.007741677671310088,Total,Total,Total,Total
0,2022-02-07,causal_0,0.017567779345552727,Total,Total,Total,Total
0,2022-02-14,causal_0,0.02218253319612795,Total,Total,Total,Total
0,2022-02-21,causal_0,0.0061127387728176445,Total,Total,Total,Total
0,2022-02-28,causal_0,0.218251904945943,Total,Total,Total,Total
0,2022-03-07,causal_0,0.005194671361973006,Total,Total,Total,Total
0,2022-03-14,causal_0,0.05484966530241353,Total,Total,Total,Total
0,2022-03-21,causal_0,0.008724014818517829,Total,Total,Total,Total
0,2022-03-28,causal_0,0.1296711430954768,Total,Total,Total,Total
0,2022-04-04,causal_0,0.01837821824399242,Total,Total,Total,Total
0,2022-04-11,causal_0,0.002826281484710243,Total,Total,Total,Total
0,2022-04-18,causal_0,0.0013605369817062695,Total,Total,Total,Total
0,2022-04-25,causal_0,0.004051821744810199,Total,Total,Total,Total
0,2022-05-02,causal_0,0.03179471373184814,Total,Total,Total,Total
0,2022-05-09,causal_0,0.10346641160475065,Total,Total,Total,Total
0,2022-05-16,causal_0,0.041482967115309244,Total,Total,Total,Total
0,2022-05-23,causal_0,0.005868780173210025,Total,Total,Total,Total
0,2022-05-30,causal_0,0.03714136561905581,Total,Total,Total,Total
0,2022-06-06,causal_0,0.0017013985249078169,Total,Total,Total,Total
0,2022-06-13,causal_0,0.039551885871661335,Total,Total,Total,Total
0,2022-06-20,causal_0,0.1560792805242642,Total,Total,Total,Total
0,2022-06-27,causal_0,0.04384266174292128,Total,Total,Total,Total
0,2022-07-04,causal_0,0.045723485784046905,Total,Total,Total,Total
0,2022-07-11,causal_0,0.19653729574150808,Total,Total,Total,Total
0,2022-07-18,causal_0,0.004067866942155622,Total,Total,Total,Total
0,2022-07-25,causal_0,0.021606247219073314,Total,Total,Total,Total
0,2022-08-01,causal_0,0.4747259569316358,Total,Total,Total,Total
0,2022-08-08,causal_0,0.0029264867844545346,Total,Total,Total,Total
0,2022-08-15,causal_0,0.00630791242180524,Total,Total,Total,Total
0,2022-08-22,causal_0,0.004131699266974614,Total,Total,Total,Total
0,2022-08-29,causal_0,0.003000205183174149,Total,Total,Total,Total
0,2022-09-05,causal_0,0.0029698662643954437,Total,Total,Total,Total
0,2022-09-12,causal_0,0.003583125956768211,Total,Total,Total,Total
0,2022-09-19,causal_0,0.012434923168719456,Total,Total,Total,Total
0,2022-09-26,causal_0,0.00517381054743459,Total,Total,Total,Total
0,2022-10-03,causal_0,0.003734654296376677,Total,Total,Total,Total
0,2022-10-10,causal_0,0.003203119731338156,Total,Total,Total,Total
0,2022-10-17,causal_0,0.00917233888432536,Total,Total,Total,Total
0,2022-10-24,causal_0,0.0010120976951450288,Total,Total,Total,Total
0,2022-10-31,causal_0,0.0038930983871760805,Total,Total,Total,Total
0,2022-11-07,causal_0,0.037718422273184504,Total,Total,Total,Total
0,2022-11-14,causal_0,0.007522885480432223,Total,Total,Total,Total
0,2022-11-21,causal_0,0.0002023749052268432,Total,Total,Total,Total
0,2022-11-28,causal_0,0.07474551341115478,Total,Total,Total,Total
0,2022-12-05,causal_0,0.0039351915022210245,Total,Total,Total,Total
0,2022-12-12,causal_0,0.02655200684784129,Total,Total,Total,Total
0,2022-12-19,causal_0,0.0011782466417469247,Total,Total,Total,Total
0,2022-12-26,causal_0,0.4441536960699064,Total,Total,Total,Total
1,2020-01-06,causal_0,5.417398510155027,Total,Total,Total,Total
1,2020-01-13,causal_0,2.1455104522300323,Total,Total,Total,Total
1,2020-01-20,causal_0,62.102064001369904,Total,Total,Total,Total
1,2020-01-27,causal_0,0.4459590628840966,Total,Total,Total,Total
1,2020-02-03,causal_0,52.71544409071775,Total,Total,Total,Total
1,2020-02-10,causal_0,18.643951727704312,Total,Total,Total,Total
1,2020-02-17,causal_0,1.4201410162763286,Total,Total,Total,Total
1,2020-02-24,causal_0,5.207950276308325,Total,Total,Total,Total
1,2020-03-02,causal_0,6.47484614789842,Total,Total,Total,Total
1,2020-03-09,causal_0,2.964719358630671,Total,Total,Total,Total
1,2020-03-16,causal_0,4.120848575399021,Total,Total,Total,Total
1,2020-03-23,causal_0,19.706790373020723,Total,Total,Total,Total
1,2020-03-30,causal_0,23.473021977081554,Total,Total,Total,Total
1,2020-04-06,causal_0,0.7910601205962593,Total,Total,Total,Total
1,2020-04-13,causal_0,8.363346061788794,Total,Total,Total,Total
1,2020-04-20,causal_0,15.13108037199785,Total,Total,Total,Total
1,2020-04-27,causal_0,8.290117754926106,Total,Total,Total,Total
1,2020-05-04,causal_0,0.6733861624791831,Total,Total,Total,Total
1,2020-05-11,causal_0,27.2239943782137,Total,Total,Total,Total
1,2020-05-18,causal_0,16.554885862109437,Total,Total,Total,Total
1,2020-05-25,causal_0,158.28271819773627,Total,Total,Total,Total
1,2020-06-01,causal_0,15.498679033100164,Total,Total,Total,Total
1,2020-06-08,causal_0,1.3075573687767656,Total,Total,Total,Total
1,2020-06-15,causal_0,20.662214524222804,Total,Total,Total,Total
1,2020-06-22,causal_0,0.44377094065874484,Total,Total,Total,Total
1,2020-06-29,causal_0,15.305848024433883,Total,Total,Total,Total
1,2020-07-06,causal_0,3.2630682607193022,Total,Total,Total,Total
1,2020-07-13,causal_0,5.54190987195176,Total,Total,Total,Total
1,2020-07-20,causal_0,1.6585187866631532,Total,Total,Total,Total
1,2020-07-27,causal_0,57.0647941277784,Total,Total,Total,Total
1,2020-08-03,causal_0,0.14692099365435463,Total,Total,Total,Total
1,2020-08-10,causal_0,14.141399281646219,Total,Total,Total,Total
1,2020-08-17,causal_0,5.532861742794051,Total,Total,Total,Total
1,2020-08-24,causal_0,0.3850870957617377,Total,Total,Total,Total
1,2020-08-31,causal_0,0.0771951988753278,Total,Total,Total,Total
1,2020-09-07,causal_0,0.3262088624824185,Total,Total,Total,Total
1,2020-09-14,causal_0,53.13280336058579,Total,Total,Total,Total
1,2020-09-21,causal_0,1.3337571799342112,Total,Total,Total,Total
1,2020-09-28,causal_0,0.8954060957297976,Total,Total,Total,Total
1,2020-10-05,causal_0,6.994048662162527,Total,Total,Total,Total
1,2020-10-12,causal_0,9.169063483856267,Total,Total,Total,Total
1,2020-10-19,causal_0,0.13213143821527823,Total,Total,Total,Total
1,2020-10-26,causal_0,1.6028221218697851,Total,Total,Total,Total
1,2020-11-02,causal_0,0.14009670147001735,Total,Total,Total,Total
1,2020-11-09,causal_0,0.638608433611674,Total,Total,Total,Total
1,2020-11-16,causal_0,2.2550264351576037,Total,Total,Total,Total
1,2020-11-23,causal_0,0.4844608518955257,Total,Total,Total,Total
1,2020-11-30,causal_0,1.7954565837632472,Total,Total,Total,Total
1,2020-12-07,causal_0,1.5234758706493245,Total,Total,Total,Total
1,2020-12-14,causal_0,3.5894061308077703,Total,Total,Total,Total
1,2020-12-21,causal_0,21.207923045931167,Total,Total,Total,Total
1,2020-12-28,causal_0,1.7601345791902452,Total,Total,Total,Total
1,2021-01-04,causal_0,8.346201074300321,Total,Total,Total,Total
1,2021-01-11,causal_0,2.429795578126982,Total,Total,Total,Total
1,2021-01-18,causal_0,71.72901531236398,Total,Total,Total,Total
1,2021-01-25,causal_0,0.5348163074319923,Total,Total,Total,Total
1,2021-02-01,causal_0,57.926808633307864,Total,Total,Total,Total
1,2021-02-08,causal_0,7.413622255876474,Total,Total,Total,Total
1,2021-02-15,causal_0,13.369289423735557,Total,Total,Total,Total
1,2021-02-22,causal_0,1.1222629081321072,Total,Total,Total,Total
1,2021-03-01,causal_0,14.928775110369278,Total,Total,Total,Total
1,2021-03-08,causal_0,211.8184977844311,Total,Total,Total,Total
1,2021-03-15,causal_0,227.45298980814474,Total,Total,Total,Total
1,2021-03-22,causal_0,4.541707390052956,Total,Total,Total,Total
1,2021-03-29,causal_0,1.0241495518215378,Total,Total,Total,Total
1,2021-04-05,causal_0,27.3418750477751,Total,Total,Total,Total
1,2021-04-12,causal_0,3.1758475942921063,Total,Total,Total,Total
1,2021-04-19,causal_0,0.08509479279622555,Total,Total,Total,Total
1,2021-04-26,causal_0,179.38599873333567,Total,Total,Total,Total
1,2021-05-03,causal_0,3.512625461989973,Total,Total,Total,Total
1,2021-05-10,causal_0,2.7535612229478468,Total,Total,Total,Total
1,2021-05-17,causal_0,14.78583844937774,Total,Total,Total,Total
1,2021-05-24,causal_0,4.685564417414243,Total,Total,Total,Total
1,2021-05-31,causal_0,190.8469927413757,Total,Total,Total,Total
1,2021-06-07,causal_0,1.5995590090992422,Total,Total,Total,Total
1,2021-06-14,causal_0,5.047257057017897,Total,Total,Total,Total
1,2021-06-21,causal_0,29.701502912078812,Total,Total,Total,Total
1,2021-06-28,causal_0,2.345294092094795,Total,Total,Total,Total
1,2021-07-05,causal_0,19.62549297830399,Total,Total,Total,Total
1,2021-07-12,causal_0,1.86294621144812,Total,Total,Total,Total
1,2021-07-19,causal_0,7.6269618401253085,Total,Total,Total,Total
1,2021-07-26,causal_0,3.920594558972538,Total,Total,Total,Total
1,2021-08-02,causal_0,9.202321459560752,Total,Total,Total,Total
1,2021-08-09,causal_0,306.95968317991696,Total,Total,Total,Total
1,2021-08-16,causal_0,15.703672930938037,Total,Total,Total,Total
1,2021-08-23,causal_0,169.94526829656962,Total,Total,Total,Total
1,2021-08-30,causal_0,4.661378162281972,Total,Total,Total,Total
1,2021-09-06,causal_0,0.4254782418960299,Total,Total,Total,Total
1,2021-09-13,causal_0,0.09031847680407494,Total,Total,Total,Total
1,2021-09-20,causal_0,6.043244265764089,Total,Total,Total,Total
1,2021-09-27,causal_0,3.711768452212409,Total,Total,Total,Total
1,2021-10-04,causal_0,2.0120232613141575,Total,Total,Total,Total
1,2021-10-11,causal_0,122.926007702282,Total,Total,Total,Total
1,2021-10-18,causal_0,0.6698837542156117,Total,Total,Total,Total
1,2021-10-25,causal_0,2.387445872316446,Total,Total,Total,Total
1,2021-11-01,causal_0,2.1277671225156056,Total,Total,Total,Total
1,2021-11-08,causal_0,1.0877054723812258,Total,Total,Total,Total
1,2021-11-15,causal_0,0.37590146643400607,Total,Total,Total,Total
1,2021-11-22,causal_0,7.4402721511778305,Total,Total,Total,Total
1,2021-11-29,causal_0,0.2691188851654254,Total,Total,Total,Total
1,2021-12-06,causal_0,8.650600569984782,Total,Total,Total,Total
1,2021-12-13,causal_0,22.08350739985059,Total,Total,Total,Total
1,2021-12-20,causal_0,2.1382662859243218,Total,Total,Total,Total
1,2021-12-27,causal_0,17.045124698815766,Total,Total,Total,Total
1,2022-01-03,causal_0,7.0843244615621455,Total,Total,Total,Total
1,2022-01-10,causal_0,348.659857793084,Total,Total,Total,Total
1,2022-01-17,causal_0,0.07597887266843845,Total,Total,Total,Total
1,2022-01-24,causal_0,4.49271108297764,Total,Total,Total,Total
1,2022-01-31,causal_0,53.054086250865346,Total,Total,Total,Total
1,2022-02-07,causal_0,25.224494262906273,Total,Total,Total,Total
1,2022-02-14,causal_0,3.955966801106914,Total,Total,Total,Total
1,2022-02-21,causal_0,39.86069208379871,Total,Total,Total,Total
1,2022-02-28,causal_0,112.07588146070248,Total,Total,Total,Total
1,2022-03-07,causal_0,7.560682649123517,Total,Total,Total,Total
1,2022-03-14,causal_0,4.103583807999132,Total,Total,Total,Total
1,2022-03-21,causal_0,12.523002352664214,Total,Total,Total,Total
1,2022-03-28,causal_0,40.34387825341944,Total,Total,Total,Total
1,2022-04-04,causal_0,8.057841329437094,Total,Total,Total,Total
1,2022-04-11,causal_0,1.2967400957692687,Total,Total,Total,Total
1,2022-04-18,causal_0,0.8193250188220647,Total,Total,Total,Total
1,2022-04-25,causal_0,4.63737701712451,Total,Total,Total,Total
1,2022-05-02,causal_0,0.12849253857105766,Total,Total,Total,Total
1,2022-05-09,causal_0,1.3058411800749548,Total,Total,Total,Total
1,2022-05-16,causal_0,0.5752134028965972,Total,Total,Total,Total
1,2022-05-23,causal_0,76.14724661229813,Total,Total,Total,Total
1,2022-05-30,causal_0,77.80903826881354,Total,Total,Total,Total
1,2022-06-06,causal_0,20.048323512197083,Total,Total,Total,Total
1,2022-06-13,causal_0,6.992057945558334,Total,Total,Total,Total
1,2022-06-20,causal_0,5.028892935853851,Total,Total,Total,Total
1,2022-06-27,causal_0,31.405807465267824,Total,Total,Total,Total
1,2022-07-04,causal_0,0.2004654374704654,Total,Total,Total,Total
1,2022-07-11,causal_0,6.378632242139523,Total,Total,Total,Total
1,2022-07-18,causal_0,0.918714683636545,Total,Total,Total,Total
1,2022-07-25,causal_0,0.7039352004890354,Total,Total,Total,Total
1,2022-08-01,causal_0,0.19505487712869968,Total,Total,Total,Total
1,2022-08-08,causal_0,8.706104377473448,Total,Total,Total,Total
1,2022-08-15,causal_0,24.66367050067422,Total,Total,Total,Total
1,2022-08-22,causal_0,15.810738356568205,Total,Total,Total,Total
1,2022-08-29,causal_0,4.093473062821449,Total,Total,Total,Total
1,2022-09-05,causal_0,0.7114450209411154,Total,Total,Total,Total
1,2022-09-12,causal_0,8.570169018968784,Total,Total,Total,Total
1,2022-09-19,causal_0,29.28729916683152,Total,Total,Total,Total
1,2022-09-26,causal_0,1.325144659936452,Total,Total,Total,Total
1,2022-10-03,causal_0,1.4160521152754457,Total,Total,Total,Total
1,2022-10-10,causal_0,30.627068650779346,Total,Total,Total,Total
1,2022-10-17,causal_0,0.14051010683592038,Total,Total,Total,Total
1,2022-10-24,causal_0,19.75944761048937,Total,Total,Total,Total
1,2022-10-31,causal_0,2.698414133631166,Total,Total,Total,Total
1,2022-11-07,causal_0,1.4014822891679901,Total,Total,Total,Total
1,2022-11-14,causal_0,1.3734601222916798,Total,Total,Total,Total
1,2022-11-21,causal_0,43.43884805395279,Total,Total,Total,Total
1,2022-11-28,causal_0,0.09655854883897465,Total,Total,Total,Total
1,2022-12-05,causal_0,4.2691753116224325,Total,Total,Total,Total
1,2022-12-12,causal_0,3.5206528427996417,Total,Total,Total,Total
1,2022-12-19,causal_0,46.21167081294791,Total,Total,Total,Total
1,2022-12-26,causal_0,0.27135828609253554,Total,Total,Total,Total
2,2020-01-06,causal_0,0.46168237774967663,Total,Total,Total,Total
2,2020-01-13,causal_0,6.192637062132135,Total,Total,Total,Total
2,2020-01-20,causal_0,0.0846573300473097,Total,Total,Total,Total
2,2020-01-27,causal_0,5.419217450520581,Total,Total,Total,Total
2,2020-02-03,causal_0,5.140862605338787,Total,Total,Total,Total
2,2020-02-10,causal_0,0.2291010005961946,Total,Total,Total,Total
2,2020-02-17,causal_0,15.194121606060577,Total,Total,Total,Total
2,2020-02-24,causal_0,0.8998546032821083,Total,Total,Total,Total
2,2020-03-02,causal_0,76.90915094326672,Total,Total,Total,Total
2,2020-03-09,causal_0,5.809509005198835,Total,Total,Total,Total
2,2020-03-16,causal_0,13.602508801402188,Total,Total,Total,Total
2,2020-03-23,causal_0,28.16253698109814,Total,Total,Total,Total
2,2020-03-30,causal_0,0.1810851637164587,Total,Total,Total,Total
2,2020-04-06,causal_0,11.600962861257353,Total,Total,Total,Total
2,2020-04-13,causal_0,0.3024489194610406,Total,Total,Total,Total
2,2020-04-20,causal_0,12.435204286565353,Total,Total,Total,Total
2,2020-04-27,causal_0,0.2760430673711138,Total,Total,Total,Total
2,2020-05-04,causal_0,0.4843066496509132,Total,Total,Total,Total
2,2020-05-11,causal_0,2.9953704135264196,Total,Total,Total,Total
2,2020-05-18,causal_0,1.6033389040545676,Total,Total,Total,Total
2,2020-05-25,causal_0,1.1289281392083201,Total,Total,Total,Total
2,2020-06-01,causal_0,1.3847572326576358,Total,Total,Total,Total
2,2020-06-08,causal_0,8.634848915818436,Total,Total,Total,Total
2,2020-06-15,causal_0,0.1288230255674144,Total,Total,Total,Total
2,2020-06-22,causal_0,0.08765063030850839,Total,Total,Total,Total
2,2020-06-29,causal_0,409.5079915245812,Total,Total,Total,Total
2,2020-07-06,causal_0,0.808711584534498,Total,Total,Total,Total
2,2020-07-13,causal_0,0.37596374559862766,Total,Total,Total,Total
2,2020-07-20,causal_0,0.6398935555767445,Total,Total,Total,Total
2,2020-07-27,causal_0,11.42691959817836,Total,Total,Total,Total
2,2020-08-03,causal_0,1.9610219124794874,Total,Total,Total,Total
2,2020-08-10,causal_0,0.31823714176202317,Total,Total,Total,Total
2,2020-08-17,causal_0,11.935495333158674,Total,Total,Total,Total
2,2020-08-24,causal_0,4.861680106736077,Total,Total,Total,Total
2,2020-08-31,causal_0,1.6934272636473489,Total,Total,Total,Total
2,2020-09-07,causal_0,4.245021872728176,Total,Total,Total,Total
2,2020-09-14,causal_0,13.57350433834276,Total,Total,Total,Total
2,2020-09-21,causal_0,0.10421717508159113,Total,Total,Total,Total
2,2020-09-28,causal_0,1.5354840003647838,Total,Total,Total,Total
2,2020-10-05,causal_0,0.5135206581188291,Total,Total,Total,Total
2,2020-10-12,causal_0,4.904574816065744,Total,Total,Total,Total
2,2020-10-19,causal_0,0.29998311910058134,Total,Total,Total,Total
2,2020-10-26,causal_0,0.07595599829162598,Total,Total,Total,Total
2,2020-11-02,causal_0,0.09946273711032919,Total,Total,Total,Total
2,2020-11-09,causal_0,0.3899207268114627,Total,Total,Total,Total
2,2020-11-16,causal_0,4.544425587419304,Total,Total,Total,Total
2,2020-11-23,causal_0,7.269264252366955,Total,Total,Total,Total
2,2020-11-30,causal_0,0.17743551503337174,Total,Total,Total,Total
2,2020-12-07,causal_0,4.124449164949823,Total,Total,Total,Total
2,2020-12-14,causal_0,0.221477238546045,Total,Total,Total,Total
2,2020-12-21,causal_0,0.19405067905636492,Total,Total,Total,Total
2,2020-12-28,causal_0,0.26710646669305643,Total,Total,Total,Total
2,2021-01-04,causal_0,0.0577813971835623,Total,Total,Total,Total
2,2021-01-11,causal_0,0.2969347508517404,Total,Total,Total,Total
2,2021-01-18,causal_0,0.575646175055348,Total,Total,Total,Total
2,2021-01-25,causal_0,0.4925372066675546,Total,Total,Total,Total
2,2021-02-01,causal_0,16.45175900263829,Total,Total,Total,Total
2,2021-02-08,causal_0,2.9652161662794283,Total,Total,Total,Total
2,2021-02-15,causal_0,0.5308288075287048,Total,Total,Total,Total
2,2021-02-22,causal_0,0.7054875016259629,Total,Total,Total,Total
2,2021-03-01,causal_0,2.2752989333996094,Total,Total,Total,Total
2,2021-03-08,causal_0,14.481456558663378,Total,Total,Total,Total
2,2021-03-15,causal_0,49.26187971350071,Total,Total,Total,Total
2,2021-03-22,causal_0,18.632953737462046,Total,Total,Total,Total
2,2021-03-29,causal_0,3.3267464201105,Total,Total,Total,Total
2,2021-04-05,causal_0,0.9018895066437591,Total,Total,Total,Total
2,2021-04-12,causal_0,0.242490146648091,Total,Total,Total,Total
2,2021-04-19,causal_0,0.49002672996446,Total,Total,Total,Total
2,2021-04-26,causal_0,0.2550681553810407,Total,Total,Total,Total
2,2021-05-03,causal_0,3.294822537361052,Total,Total,Total,Total
2,2021-05-10,causal_0,2.330316840519697,Total,Total,Total,Total
2,2021-05-17,causal_0,3.22591957524522,Total,Total,Total,Total
2,2021-05-24,causal_0,5.797444472300835,Total,Total,Total,Total
2,2021-05-31,causal_0,11.063564176514843,Total,Total,Total,Total
2,2021-06-07,causal_0,4.5499792138538995,Total,Total,Total,Total
2,2021-06-14,causal_0,15.335336596065043,Total,Total,Total,Total
2,2021-06-21,causal_0,0.8627235274098378,Total,Total,Total,Total
2,2021-06-28,causal_0,8.196519206632798,Total,Total,Total,Total
2,2021-07-05,causal_0,1.1394564497978288,Total,Total,Total,Total
2,2021-07-12,causal_0,0.3496522772323602,Total,Total,Total,Total
2,2021-07-19,causal_0,0.28498824307696907,Total,Total,Total,Total
2,2021-07-26,causal_0,0.7722305934765423,Total,Total,Total,Total
2,2021-08-02,causal_0,3.5398242901159485,Total,Total,Total,Total
2,2021-08-09,causal_0,3.0941807022452408,Total,Total,Total,Total
2,2021-08-16,causal_0,0.1746456384065729,Total,Total,Total,Total
2,2021-08-23,causal_0,3.117476477867146,Total,Total,Total,Total
2,2021-08-30,causal_0,0.21568566559188823,Total,Total,Total,Total
2,2021-09-06,causal_0,359.5474307655154,Total,Total,Total,Total
